iter	RMSE
130	1.897675202
131	1.890870086
132	1.884293392
133	1.879487974
134	1.874498034
135	1.871820694
136	1.867071403
137	1.863343458
138	1.858499812
139	1.85283544
140	1.85023447
141	1.844583837
142	1.838243085
143	1.832035572
144	1.824810007
145	1.818588098
146	1.81507497
147	1.809927152
148	1.804256195
149	1.798645096
150	1.793435349
151	1.78795665
152	1.782291391
153	1.776154163
154	1.771566208
155	1.76488172
156	1.760722212
157	1.757917623
158	1.752450894
159	1.748428751
160	1.741690134
161	1.73668158
162	1.730582598
163	1.725784215
164	1.718829964
165	1.711042
166	1.708018169
167	1.703041647
168	1.697239118
169	1.693662185
170	1.689420529
171	1.687208203
172	1.680236199
173	1.675417574
174	1.671920156
175	1.665573415
176	1.655997566
177	1.65291283
178	1.646623922
179	1.63873105
180	1.633192992
181	1.629856579
182	1.627301081
183	1.623720001
184	1.618210611
185	1.615478987
186	1.615194417
187	1.609725062
188	1.60749288
189	1.604473347
190	1.59989995
191	1.594184816
192	1.591067424
193	1.589036524
194	1.583946275
195	1.576226626
196	1.571357756
197	1.562059194
198	1.55958897
199	1.55736871
200	1.551876464
201	1.545301341
202	1.5438146
203	1.539096832
204	1.535636016
205	1.532843495
206	1.526909352
207	1.524673329
208	1.518556779
209	1.513702925
210	1.510008207
211	1.507516346
212	1.505151908
213	1.502250315
214	1.497631332
215	1.495067226
216	1.490321811
217	1.484739463
218	1.479546774
219	1.475062833
220	1.470943989
221	1.46735079
222	1.463612375
223	1.460047973
224	1.455423149
225	1.450397455
226	1.444566725
227	1.440769444
228	1.435876288
229	1.432896903
230	1.432642411
231	1.427428757
232	1.42715192
233	1.423709656
234	1.42130415
235	1.420628188
236	1.417720228
237	1.415389651
238	1.411632244
239	1.407314212
240	1.401722905
241	1.398502703
242	1.394585924
243	1.390347227
244	1.3865041
245	1.381945359
246	1.379751201
247	1.376641063
248	1.374105298
249	1.370536507
250	1.368197975
251	1.366817428
252	1.363286757
253	1.359903783
254	1.356405479
255	1.355393011
256	1.351375954
257	1.348554019
258	1.345862392
259	1.342160403
260	1.336731573
261	1.331147842
262	1.326472985
263	1.321279702
264	1.319009691
265	1.317311414
266	1.315974197
267	1.313742058
268	1.311804446
269	1.307344225
270	1.305924342
271	1.305481393
272	1.301595234
273	1.297071434
274	1.293185286
275	1.291231973
276	1.287260958
277	1.283673239
278	1.280398016
279	1.277452342
280	1.272802661
281	1.2712679
282	1.266206773
283	1.261473342
284	1.259968156
285	1.257079486
286	1.254394871
287	1.252324289
288	1.248830976
289	1.244667354
290	1.240958785
291	1.239208158
292	1.235362887
293	1.233628859
294	1.230134639
295	1.227293093
296	1.223082702
297	1.219372286
298	1.218157522
299	1.215795992
300	1.21070763
301	1.207740183
302	1.204681218
303	1.202567878
304	1.201623322
305	1.199373537
306	1.195626834
307	1.192463261
308	1.188707584
309	1.185216544
310	1.182352371
311	1.178771104
312	1.177408418
313	1.176449311
314	1.17310673
315	1.170708611
316	1.165987287
317	1.16299147
318	1.161089153
319	1.159133667
320	1.155168691
321	1.151319475
322	1.150999862
323	1.1494108
324	1.144931144
325	1.140462586
326	1.139282939
327	1.135235282
328	1.131976942
329	1.128421514
330	1.128278501
331	1.126675742
332	1.123780214
333	1.122131155
334	1.118565562
335	1.117972041
336	1.116294903
337	1.112140177
338	1.109763065
339	1.105595792
340	1.101378235
341	1.097296127
342	1.096083084
343	1.092402907
344	1.088696204
345	1.085049076
346	1.082650789
347	1.080512604
348	1.077359359
349	1.07446876
350	1.074082689
351	1.073314658
352	1.073231984
353	1.071985675
354	1.068484255
355	1.064039203
356	1.063170785
357	1.059459573
358	1.057599142
359	1.056310714
360	1.053614379
361	1.050624592
362	1.049410024
363	1.047817233
364	1.047275113
365	1.045194663
366	1.044679367
367	1.04147745
368	1.037481707
369	1.032628436
370	1.028533235
371	1.024777762
372	1.022015895
373	1.020279076
374	1.01799651
375	1.014268203
376	1.011600379
377	1.008128712
378	1.005126494
379	1.002214653
380	0.9997257039
381	0.9973665616
382	0.9960436396
383	0.9919236745
384	0.9909470689
385	0.9899330646
386	0.9891003258
387	0.9862379547
388	0.9848613723
389	0.9814544063
390	0.9791649724
391	0.9785973148
392	0.977636265
393	0.9758244219
394	0.9741018614
395	0.9716491776
396	0.968055349
397	0.964554603
398	0.9628353769
399	0.95984045
400	0.9565676595
401	0.9542650603
402	0.9514435956
403	0.9499555802
404	0.9465219778
405	0.94518035
406	0.9436365699
407	0.9407742153
408	0.9392160783
409	0.9382645928
410	0.9369252209
411	0.9359823506
412	0.9335832644
413	0.9310125566
414	0.9287336486
415	0.9266707729
416	0.9257183701
417	0.9233493094
418	0.9222603152
419	0.9206014366
420	0.9187259993
421	0.9167827937
422	0.9147701975
423	0.9118717747
424	0.9098889103
425	0.9070575935
426	0.9046721279
427	0.9037586595
428	0.9027243188
429	0.9004921221
430	0.8999531728
431	0.899447012
432	0.8970363024
433	0.8969684422
434	0.8950605601
435	0.8922882978
436	0.8898881025
437	0.8874791767
438	0.8855644363
439	0.883419714
440	0.8815446394
441	0.8779274827
442	0.8763770243
443	0.8729478959
444	0.8711229342
445	0.8708131543
446	0.868940686
447	0.8650363591
448	0.8625922541
449	0.8625248319
450	0.8615241435
451	0.8589363099
452	0.8583370015
453	0.8559042477
454	0.8537753421
455	0.8509437545
456	0.8489994153
457	0.8475533074
458	0.8455954599
459	0.8434932598
460	0.8413746362
461	0.8387693081
462	0.8364159133
463	0.834373698
464	0.8312757464
465	0.8282285764
466	0.8258752744
467	0.8227146246
468	0.8215668504
469	0.8197101137
470	0.8170217178
471	0.8168874816
472	0.8145722141
473	0.8145302958
474	0.8144015573
475	0.8118066461
476	0.8115048128
477	0.8106649557
478	0.8099769929
479	0.8079826043
480	0.8066313825
481	0.8060270504
482	0.8038203194
483	0.802523421
484	0.8024862705
485	0.8010233923
486	0.7983205294
487	0.7982701324
488	0.7969502155
489	0.7952228238
490	0.7951845236
491	0.7928376296
492	0.7905743587
493	0.7897886375
494	0.7881239162
495	0.7868540417
496	0.7868204655
497	0.7848684615
498	0.7830689177
499	0.7806160143
